Date,Ethereum,Tron,BSC,Arbitrum,Polygon,Optimism,Avalanche,Mixin,Cronos,Fantom,Solana,Kava,DefiChain,Bitcoin,Fusion,Osmosis,Klaytn,Cardano,Algorand,Canto,zkSync Era,EOS,Celo,Rootstock,Ronin,Gnosis,Waves,MultiversX,Tezos,Thorchain,KCC,Moonbeam,Aptos,NEO,Metis,Conflux,Near,Telos,Acala,OKXChain,Stacks,Astar,Sui,Hedera,Heco,Parallel,IoTeX,Aurora,Injective,Terra2,Stellar,Tlchain,Ontology,Moonriver,WEMIX,Icon,Bittorrent,TON,Secret,Vision,Kujira,Starknet,Umee,CORE,Wanchain,Ultra,Karura,Proton,Ultron,DFK,Ergo,ThunderCore,Kardia,Crescent,Flow,Filecoin,Vite,Arbitrum Nova,Songbird,Oraichain,Oasis,smartBCH,GodwokenV1,Zilliqa,Everscale,Dogechain,Nuls,Interlay,Sora,Carbon,Juno,XDC,Harmony,Boba,SXnetwork,Bifrost,Terra Classic,Step,Velas,Zeniq,Meter,Milkomeda C1,Libre,OntologyEVM,Hydra,Bitindi,Polygon zkEVM,LBRY,Comdex,Oasys,Grove,Heiko,Litecoin,Persistence,Evmos,EOS EVM,Kadena,Fuse,Bitcoincash,FunctionX,Theta,Syscoin,Obyte,Equilibrium,Bitgert,Map,VeChain,Doge,Nahmii,Tombchain,Elastos,Godwoken,Kintsugi,Crab,Nova Network,CosmosHub,TomoChain,Callisto,CSC,Energi,Starcoin,Europa,Wax,Genshiro,EnergyWeb,Boba_Bnb,ICP,EthereumPoW,Flare,EthereumClassic,Loop,Empire,Ubiq,Findora,Cube,ZYX,Milkomeda A1,Rangers,Shiden,Lachain,Bone,ENULS,Goerli,Lamden,MultiVAC,HPB,Boba_Avax,REIchain,Sifchain,CLV,Stargaze,GoChain,Polis,MUUCHAIN,Lung,REI,Dexit,Kekchain,Palm,Omax,zkSync Lite,Polkadot,Kusama,Stride,Stafi,Migaloo,Quicksilver,Hoo,Echelon,Coti
2020-08-02,3519.41,20.68,,,,,,,,,,,,,,,,,,,,,190.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-03,3441.4,19.59,,,,,,,,,,,,,,,,,,,,,188.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-04,3582.08,20.35,,,,,,,,,,,,,,,,,,,,,191.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-05,3651.37,20.85,,,,,,,,,,,,,,,,,,,,,188.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-06,3847.53,21.37,,,,,,,,,,,,,,,,,,,,,190.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-07,3782.4,20.83,,,,,,,,,,,,,,,,,,,,,187.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-08,3841.07,21.42,,,,,,,,,,,,,,,,,,,,,181.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-09,3867.65,21.12,,,,,,,,,,,,,,,,,,,,,206.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-10,3978.53,21.3,,,,,,,,,,,,,,,,,,,,,218.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-11,4058.23,22.13,,,,,,,,,,,,,,,,,,,,,213.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
