Date,Ethereum,Tron,BSC,Arbitrum,Polygon,Optimism,Avalanche,Mixin,Cronos,Fantom,other chains
2020-08-02,3519.41,20.68,,,,,,,,,190.4
2020-08-03,3441.4,19.59,,,,,,,,,188.93
2020-08-04,3582.08,20.35,,,,,,,,,191.5
2020-08-05,3651.37,20.85,,,,,,,,,188.3
2020-08-06,3847.53,21.37,,,,,,,,,190.6
2020-08-07,3782.4,20.83,,,,,,,,,187.87
2020-08-08,3841.07,21.42,,,,,,,,,181.62
2020-08-09,3867.65,21.12,,,,,,,,,206.3
2020-08-10,3978.53,21.3,,,,,,,,,218.46
2020-08-11,4058.23,22.13,,,,,,,,,213.13
2020-08-12,4007.37,21.51,,,,,,,,,217.5
2020-08-13,4036.31,20.84,,,,,,,,,222.92
2020-08-14,4210.36,21.01,,,,,,,,,235.01
2020-08-15,4651.2,25.45,,,,,,,,,269.02
2020-08-16,4948.56,24.97,,,,,,,,,269.61
2020-08-17,5002.24,25.51,,,,,,,,,258.72
2020-08-18,5235.18,30.92,,,,,,,,,262.09
2020-08-19,5266.93,34.27,,,,,,,,,265.72
2020-08-20,5276.3,33.93,,,,,,,,,268.91
2020-08-21,5424.13,34.71,,,,,,,,,271.16
2020-08-22,5346.21,32.44,,,,,,,,,253.3
2020-08-23,5249.8,30.59,,,,,,,,,247.08
2020-08-24,5315.68,30.23,,,,,,,,,248.64
2020-08-25,5439.36,32.23,,,,,,,,,251.08
2020-08-26,5614.22,30.56,,,,,,,,,294.68
2020-08-27,5722.78,38.11,,,,,,,,,303.0
2020-08-28,5751.46,38.13,,,,,,,,,410.38
2020-08-29,6133.14,41.02,,,,,,,,,422.8
2020-08-30,6427.14,42.67,,,,,,,,,430.98
2020-08-31,6822.09,54.31,,,,,,,,,416.54
2020-09-01,7217.97,56.97,,,,,,,,,410.73
2020-09-02,8170.7,91.87,,,,,,,,,396.94
2020-09-03,7960.66,119.34,,,,,,,,,402.37
2020-09-04,7570.13,163.89,,,,,,,,,396.57
2020-09-05,7413.7,192.28,,,,,,,,,442.94
2020-09-06,6311.92,144.69,,,,,,,,,382.12
2020-09-07,6633.61,151.06,,,,,,,,,359.79
2020-09-08,6590.95,162.98,,,,,,,,,327.09
