,id,symbol,name,image,current_price,market_cap,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,ath,to_ATH_pct,Price_Change_24h,Price_Change_7d,Price_Change_30d,Price_Change_200d,Price_Change_1Y,market_cap_dominance,volume_dominance,mcap_vol_ratio,mcap_circ_ratio,id_protocols,name_protocols,symbol_protocols,gecko_id,chain,category,slug,tvl,change_1h,change_1d,change_7d,gecko_id_chains,tvl_chains,tokenSymbol,cmcId,name_chains,chainId,mcap_tvl_ratio_dapp,mcap_tvl_ratio_chain
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,27035.0,524122.94,567671.45,15626.63,19389000.0,21000000.0,21000000.0,69045.0,-60.84,-3.36,1.16,-5.34,60.47,-14.58,44.87,28.61,33.54,0.92,2786,Bitcoin,BTC,bitcoin,Bitcoin,Chain,bitcoin,0.0,,,,bitcoin,178.26,BTC,1,Bitcoin,,,2940.22
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1862.95,224028.67,224028.67,7131.95,120248574.24,120248574.24,,4878.26,-61.8,-2.62,2.59,0.78,47.54,-5.51,19.18,13.06,31.41,1.0,,,,,,,,,,,,ethereum,53388.16,ETH,1027,Ethereum,1,,4.2
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,1.0,83089.16,83089.16,15467.83,83184323407.66,83184323407.66,,1.32,-24.51,-0.23,-0.11,-0.25,-0.07,-0.09,7.11,28.32,5.37,1.0,,,,,,,,,,,,,,,,,,,
3,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,306.24,48396.19,61305.13,675.06,157886280.0,157900174.0,200000000.0,686.31,-55.34,-2.38,-0.86,-8.6,8.12,-4.31,4.14,1.24,71.69,1.0,,,,,,,,,,,,binancecoin,5003.47,BNB,1839,Binance,56,,9.67
4,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,28902.28,28902.68,1824.58,28951701882.79,28952107371.79,,1.17,-14.85,-0.13,-0.15,-0.19,-0.22,-0.25,2.47,3.34,15.84,1.0,,,,,,,,,,,,,,,,,,,
5,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.5085,26435.14,50853.06,2505.68,51983386003.0,99988920499.0,100000000000.0,3.4,-85.03,1.18,11.65,9.27,36.13,21.09,2.26,4.59,10.55,0.52,,,,,,,,,,,,,,,,,,,
6,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.3727,13070.62,16783.49,218.14,35045020830.32,45000000000.0,45000000000.0,3.09,-87.92,-2.59,1.76,-4.52,8.49,-43.64,1.12,0.4,59.92,0.78,,,,,,,,,,,,cardano,173.4,ADA,2010,Cardano,,,75.38
7,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1861.24,12882.52,12882.52,7.78,6916816.91,6921219.88,6916816.91,4829.57,-61.42,-2.62,2.52,1.17,49.5,-3.75,1.1,0.01,1655.85,1.0,,,,,,,,,,,,,,,,,,,
8,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.0713,9962.87,9962.86,281.96,139571976383.7,139571886383.7,,0.731578,-90.24,-2.75,0.18,-9.58,-23.78,-17.56,0.85,0.52,35.33,1.0,,,,,,,,,,,,dogecoin,1.15,DOGE,74,Doge,,,8663.37
9,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,0.886,8220.6,8858.92,300.1,9279469069.28,10000000000.0,10000000000.0,2.92,-69.62,-2.99,2.02,-9.69,-7.63,32.54,0.7,0.55,27.39,0.93,240,Polygon Bridge & Staking,MATIC,matic-network,Polygon,Chain,polygon-bridge-&-staking,6711.58,-0.24181797133363148,-2.713694335293795,0.3986846162791693,matic-network,1270.86,MATIC,3890,Polygon,137,1.22,6.47
