,id,name,address,symbol,chain,logo,audits,gecko_id,category,chains,module,twitter,forkedFrom,oracles,slug,tvl,chainTvls,change_1h,change_1d,change_7d
0,2269,Binance CEX,,-,Multi-Chain,https://icons.llama.fi/binance-cex.jpg,0,,CEX,"['Bitcoin', 'Ethereum', 'Tron', 'Binance', 'Ripple', 'Solana', 'Arbitrum', 'Avalanche', 'Litecoin', 'Polkadot', 'Polygon', 'Optimism']",binance/index.js,binance,[],[],binance-cex,63883.06,"{'Optimism': 252.48, 'Litecoin': 534.06, 'Binance': 9826.23, 'Ethereum': 16086.74, 'Avalanche': 678.08, 'Polygon': 329.2, 'Solana': 1227.23, 'Tron': 16056.9, 'Arbitrum': 716.38, 'Ripple': 1336.81, 'Polkadot': 453.99, 'Bitcoin': 16384.97}",-0.02168695502035689,-1.9851454047007024,0.35642772106530174
1,182,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,Multi-Chain,https://icons.llama.fi/lido.png,2,lido-dao,Liquid Staking,"['Ethereum', 'Solana', 'Moonbeam', 'Moonriver', 'Terra']",lido/index.js,LidoFinance,,,lido,13100.48,"{'Ethereum': 13036.62, 'Moonriver': 0.99, 'Solana': 57.07, 'Terra': 0.07, 'Moonbeam': 5.73}",-0.08484029189096987,-1.7360223595637763,6.757628591136381
2,2272,OKX,,-,Multi-Chain,https://icons.llama.fi/okx.jpg,0,,CEX,"['Ethereum', 'Bitcoin', 'Tron', 'Optimism', 'Arbitrum', 'Polygon', 'Avalanche']",okex/index.js,okx,[],[],okx,9891.52,"{'Optimism': 87.05, 'Ethereum': 6122.43, 'Avalanche': 32.47, 'Polygon': 56.51, 'Tron': 299.28, 'Arbitrum': 75.62, 'Bitcoin': 3218.16}",-0.03783741412733832,0.3351542472123299,2.2145867238043735
3,2275,Bitfinex,,-,Multi-Chain,https://icons.llama.fi/bitfinex.png,0,,CEX,"['Bitcoin', 'Ethereum', 'Tron', 'Avalanche', 'Polygon', 'Solana', 'Polkadot', 'Litecoin', 'EOS', 'Algorand', 'Zilliqa', 'Fantom', 'Cosmos', 'Cardano', 'Tezos', 'Near', 'Aptos', 'Elrond', 'EthereumClassic']",bitfinex/index.js,bitfinex,[],[],bitfinex,9010.67,"{'Cosmos': 3.5, 'Ethereum': 3451.02, 'Cardano': 2.34, 'Avalanche': 36.91, 'EthereumClassic': 0.0, 'Tron': 173.53, 'Fantom': 4.46, 'Litecoin': 8.45, 'Zilliqa': 5.53, 'Aptos': 1.67, 'Near': 1.75, 'EOS': 6.72, 'Tezos': 2.18, 'Algorand': 5.57, 'Polygon': 15.48, 'Solana': 15.36, 'Elrond': 0.54, 'Polkadot': 10.59, 'Bitcoin': 5265.07}",-0.08370929192827248,-2.3176639962162398,0.6942775251263811
4,118,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,Ethereum,https://icons.llama.fi/makerdao.jpg,2,maker,CDP,['Ethereum'],maker/index.js,MakerDAO,,['Chronicle'],makerdao,6807.54,{'Ethereum': 6807.54},-0.10070799547212061,-2.3593855306515934,0.7765659313281077
5,240,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,Polygon,https://icons.llama.fi/polygon.jpg,0,matic-network,Chain,['Polygon'],polygon/index.js,0xPolygon,,,polygon-bridge-&-staking,6711.58,{'Polygon': 6711.58},-0.24181797133363148,-2.713694335293795,0.3986846162791693
6,2,WBTC,,-,Ethereum,https://icons.llama.fi/wbtc.png,2,,Bridge,['Ethereum'],wbtc.js,WrappedBTC,,[],wbtc,4241.43,{'Ethereum': 4241.43},-0.06998931741998149,-3.117745794793052,1.5394103916384125
7,3,Curve DEX,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,Multi-Chain,https://icons.llama.fi/curve.png,2,,Dexes,"['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'Fantom', 'Celo', 'xDai', 'Avalanche', 'Kava', 'Moonbeam', 'Aurora', 'Harmony']",curve/index.js,CurveFinance,,[],curve-dex,4202.1,"{'Optimism': 43.82, 'Kava': 12.98, 'Harmony': 0.0, 'Moonbeam': 0.56, 'Ethereum': 3887.48, 'Aurora': 0.02, 'xDai': 16.69, 'Avalanche': 16.55, 'Ethereum-staking': 541.17, 'Polygon': 83.31, 'Celo': 22.8, 'Arbitrum': 94.42, 'Fantom': 23.45, 'staking': 541.17}",-0.03840126835014246,-1.2530389153385215,0.03848395643237268
8,111,AAVE V2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,Multi-Chain,https://icons.llama.fi/aave-v2.png,2,aave,Lending,"['Ethereum', 'Polygon', 'Avalanche']",aave/index.js,AaveAave,,['Chainlink'],aave-v2,3824.32,"{'pool2': 106.66, 'Polygon-borrowed': 56.95, 'Ethereum-pool2': 106.66, 'Ethereum': 3612.43, 'Avalanche': 41.48, 'Ethereum-staking': 211.22, 'Polygon': 170.41, 'Ethereum-borrowed': 1728.22, 'borrowed': 1801.43, 'staking': 211.22, 'Avalanche-borrowed': 16.26}",-0.1223722148115911,-1.1900679137848158,1.448216706706205
9,494,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,Tron,https://icons.llama.fi/justlend.png,2,just,Lending,['Tron'],justlend.js,DeFi_JUST,,['WINkLink'],justlend,3676.95,"{'Tron-borrowed': 87.12, 'Tron': 3676.95, 'borrowed': 87.12}",-0.09042728417139756,-2.744371230271213,-0.7313307137272034
10,2270,Crypto-com,,-,Multi-Chain,https://icons.llama.fi/crypto-com.jpg,0,,CEX,"['Ethereum', 'Bitcoin', 'Polygon', 'Fantom', 'Binance', 'Optimism', 'Avalanche', 'Arbitrum']",crypto-com/index.js,cryptocom,[],[],crypto-com,3417.46,"{'Optimism': 0.7, 'Binance': 1.66, 'Ethereum': 2215.56, 'Avalanche': 0.0, 'Polygon': 34.23, 'Arbitrum': 0.0, 'Fantom': 10.66, 'Bitcoin': 1154.65}",-0.1677592343890808,-3.282826524474544,3.2244700384923135
11,319,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,Multi-Chain,https://icons.llama.fi/convex-finance.jpg,2,convex-finance,Yield,"['Ethereum', 'Arbitrum', 'Polygon']",convex/index.js,ConvexFinance,,,convex-finance,3272.94,"{'Ethereum': 3161.83, 'Polygon': 54.41, 'Ethereum-staking': 244.46, 'Arbitrum': 56.7, 'staking': 244.46}",0.005832156864556737,-1.9972480277810831,0.06733091731949514
12,694,JustCryptos,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,Tron,https://icons.llama.fi/justcryptos.png,0,,Bridge,['Tron'],justCryptos/index.js,DeFi_JUST,,,justcryptos,3217.32,{'Tron': 3217.32},-0.07677609405651253,-3.167543986890678,1.4455829481091484
13,2276,Huobi,,-,Multi-Chain,https://icons.llama.fi/huobi.jpg,0,,CEX,"['Tron', 'Ethereum', 'Bitcoin', 'Polygon', 'Avalanche', 'Solana', 'EOS', 'Algorand', 'Litecoin']",huobi/index.js,HuobiGlobal,[],[],huobi,2995.9,"{'Litecoin': 0.0, 'EOS': 7.25, 'Ethereum': 997.04, 'Algorand': 1.87, 'Avalanche': 13.14, 'Polygon': 20.05, 'Solana': 10.15, 'Tron': 1102.33, 'Bitcoin': 844.07}",-0.15732412282658004,-2.806137317368865,1.7093046375988195
14,2198,Uniswap V3,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Multi-Chain,https://icons.llama.fi/uniswap-v3.png,2,,Dexes,"['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'Binance', 'Celo']",uniswap/index.js,Uniswap,,[],uniswap-v3,2936.8,"{'Optimism': 79.79, 'Binance': 16.75, 'Ethereum': 2426.95, 'Polygon': 94.78, 'Celo': 9.08, 'Arbitrum': 309.45}",-0.1921067273198389,-2.339205060597891,-0.5805176665142255
15,2286,Bybit,,-,Multi-Chain,https://icons.llama.fi/bybit.png,0,,CEX,"['Ethereum', 'Bitcoin', 'Tron', 'Arbitrum', 'Binance', 'Ripple', 'Optimism', 'Polygon', 'Avalanche']",bybit/index.js,Bybit_Official,[],[],bybit,2894.18,"{'Optimism': 27.56, 'Binance': 60.9, 'Ethereum': 1590.25, 'Avalanche': 14.6, 'Polygon': 17.9, 'Tron': 276.1, 'Arbitrum': 61.34, 'Ripple': 42.63, 'Bitcoin': 802.9}",-0.22828017751305651,-2.3782379728790346,0.05136476874652374
16,2274,Kucoin,,-,Multi-Chain,https://icons.llama.fi/kucoin.jpg,0,,CEX,"['Ethereum', 'Bitcoin', 'Tron', 'Algorand', 'EOS', 'Optimism', 'Kucoin', 'Arbitrum']",kucoin/index.js,kucoincom,[],[],kucoin,2629.07,"{'Optimism': 3.85, 'Kucoin': 2.15, 'EOS': 26.32, 'Ethereum': 1710.32, 'Algorand': 109.77, 'Tron': 350.74, 'Arbitrum': 1.79, 'Bitcoin': 424.13}",-0.049680201879908736,-1.7244161288103754,-0.11456932084587379
17,2222,Coinbase Wrapped Staked ETH,,-,Ethereum,https://icons.llama.fi/coinbase-wrapped-staked-eth.png,0,,Liquid Staking,['Ethereum'],cbETH/index.js,coinbase,[],[],coinbase-wrapped-staked-eth,2194.91,{'Ethereum': 2194.91},0.14598615719911834,-2.7492806544717894,3.852521791721955
18,120,Instadapp,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,INST,Ethereum,https://icons.llama.fi/instadapp.jpg,,instadapp,Services,['Ethereum'],instadapp.js,Instadapp,,,instadapp,2165.54,{'Ethereum': 2165.54},0.013471413035915702,-2.2427817761254403,2.8044947969430467
