,id,name,address,symbol,url,description,chain,logo,audits,audit_note,gecko_id,cmcId,category,chains,module,twitter,forkedFrom,oracles,listedAt,slug,tvl,chainTvls,change_1h,change_1d,change_7d,tokenBreakdowns,referralUrl,treasury,audit_links,openSource,governanceID,language,staking,parentProtocol,pool2,oraclesByChain
0,2269,Binance CEX,,-,https://www.binance.com,Binance is a cryptocurrency exchange which is the largest exchange in the world in terms of daily trading volume of cryptocurrencies,Multi-Chain,https://icons.llama.fi/binance-cex.jpg,0,,,,CEX,"['Bitcoin', 'Ethereum', 'Tron', 'Binance', 'Ripple', 'Solana', 'Arbitrum', 'Avalanche', 'Litecoin', 'Polkadot', 'Polygon', 'Optimism']",binance/index.js,binance,[],[],1668170565.0,binance-cex,63883.06,"{'Optimism': 252.48, 'Litecoin': 534.06, 'Binance': 9826.23, 'Ethereum': 16086.74, 'Avalanche': 678.08, 'Polygon': 329.2, 'Solana': 1227.23, 'Tron': 16056.9, 'Arbitrum': 716.38, 'Ripple': 1336.81, 'Polkadot': 453.99, 'Bitcoin': 16384.97}",-0.02168695502035689,-1.9851454047007024,0.35642772106530174,{},,,,,,,,,,
1,182,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,https://lido.fi/,"Liquidity for staked assets. Daily rewards, no lock ups. Available for Ethereum, Solana, Polygon, Terra, Kusama & Polkadot.",Multi-Chain,https://icons.llama.fi/lido.png,2,,lido-dao,8000,Liquid Staking,"['Ethereum', 'Solana', 'Moonbeam', 'Moonriver', 'Terra']",lido/index.js,LidoFinance,,,,lido,13100.48,"{'Ethereum': 13036.62, 'Moonriver': 0.99, 'Solana': 57.07, 'Terra': 0.07, 'Moonbeam': 5.73}",-0.08484029189096987,-1.7360223595637763,6.757628591136381,{},https://stake.lido.fi/?ref=0x08a3c2A819E3de7ACa384c798269B3Ce1CD0e437,lido.js,['https://github.com/lidofinance/audits'],True,['snapshot:lido-snapshot.eth'],,,,,
2,2272,OKX,,-,https://www.okx.com,"OKX, formerly known as OKEx, is a Seychelles-based cryptocurrency exchange and derivatives exchange that provides a platform for trading various instruments such as spot and derivative",Multi-Chain,https://icons.llama.fi/okx.jpg,0,,,,CEX,"['Ethereum', 'Bitcoin', 'Tron', 'Optimism', 'Arbitrum', 'Polygon', 'Avalanche']",okex/index.js,okx,[],[],1668185769.0,okx,9891.52,"{'Optimism': 87.05, 'Ethereum': 6122.43, 'Avalanche': 32.47, 'Polygon': 56.51, 'Tron': 299.28, 'Arbitrum': 75.62, 'Bitcoin': 3218.16}",-0.03783741412733832,0.3351542472123299,2.2145867238043735,{},,,,,,,,,,
3,2275,Bitfinex,,-,https://www.bitfinex.com,"Bitfinex facilitates a graphical trading experience with advanced charting functionality that allows traders to visualise orders, positions and price alerts",Multi-Chain,https://icons.llama.fi/bitfinex.png,0,,,,CEX,"['Bitcoin', 'Ethereum', 'Tron', 'Avalanche', 'Polygon', 'Solana', 'Polkadot', 'Litecoin', 'EOS', 'Algorand', 'Zilliqa', 'Fantom', 'Cosmos', 'Cardano', 'Tezos', 'Near', 'Aptos', 'Elrond', 'EthereumClassic']",bitfinex/index.js,bitfinex,[],[],1668201923.0,bitfinex,9010.67,"{'Cosmos': 3.5, 'Ethereum': 3451.02, 'Cardano': 2.34, 'Avalanche': 36.91, 'EthereumClassic': 0.0, 'Tron': 173.53, 'Fantom': 4.46, 'Litecoin': 8.45, 'Zilliqa': 5.53, 'Aptos': 1.67, 'Near': 1.75, 'EOS': 6.72, 'Tezos': 2.18, 'Algorand': 5.57, 'Polygon': 15.48, 'Solana': 15.36, 'Elrond': 0.54, 'Polkadot': 10.59, 'Bitcoin': 5265.07}",-0.08370929192827248,-2.3176639962162398,0.6942775251263811,{},,,,,,,,,,
4,118,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,https://makerdao.com/,"Builders of Dai, a digital currency that can be used by anyone, anywhere.
",Ethereum,https://icons.llama.fi/makerdao.jpg,2,,maker,1518,CDP,['Ethereum'],maker/index.js,MakerDAO,,['Chronicle'],,makerdao,6807.54,{'Ethereum': 6807.54},-0.10070799547212061,-2.3593855306515934,0.7765659313281077,{},https://oasis.app/?ref=0x08a3c2A819E3de7ACa384c798269B3Ce1CD0e437,maker.js,['https://security.makerdao.com/'],,,,,,,
5,240,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,https://polygon.technology/,"Ethereum sidechain
",Polygon,https://icons.llama.fi/polygon.jpg,0,,matic-network,3890,Chain,['Polygon'],polygon/index.js,0xPolygon,,,,polygon-bridge-&-staking,6711.58,{'Polygon': 6711.58},-0.24181797133363148,-2.713694335293795,0.3986846162791693,{},,,,,,,,,,
6,2,WBTC,,-,https://wbtc.network/,"Wrapped Bitcoin (WBTC) is the first ERC20 token backed 1:1 with Bitcoin.
Completely transparent. 100% verifiable. Community led.",Ethereum,https://icons.llama.fi/wbtc.png,2,,,,Bridge,['Ethereum'],wbtc.js,WrappedBTC,,[],,wbtc,4241.43,{'Ethereum': 4241.43},-0.06998931741998149,-3.117745794793052,1.5394103916384125,{},,,['https://wbtc.network/dashboard/audit'],,,,,,,
7,3,Curve DEX,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,https://curve.fi,Curve is a decentralized exchange liquidity pool on Ethereum designed for extremely efficient stablecoin trading,Multi-Chain,https://icons.llama.fi/curve.png,2,,,,Dexes,"['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'Fantom', 'Celo', 'xDai', 'Avalanche', 'Kava', 'Moonbeam', 'Aurora', 'Harmony']",curve/index.js,CurveFinance,,[],,curve-dex,4202.1,"{'Optimism': 43.82, 'Kava': 12.98, 'Harmony': 0.0, 'Moonbeam': 0.56, 'Ethereum': 3887.48, 'Aurora': 0.02, 'xDai': 16.69, 'Avalanche': 16.55, 'Ethereum-staking': 541.17, 'Polygon': 83.31, 'Celo': 22.8, 'Arbitrum': 94.42, 'Fantom': 23.45, 'staking': 541.17}",-0.03840126835014246,-1.2530389153385215,0.03848395643237268,{},,,['https://curve.fi/audits'],,,Vyper,541174151.6836026,parent#curve-finance,,
8,111,AAVE V2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,"https://aave.com
",Aave is an Open Source and Non-Custodial protocol to earn interest on deposits and borrow assets,Multi-Chain,https://icons.llama.fi/aave-v2.png,2,,aave,7278,Lending,"['Ethereum', 'Polygon', 'Avalanche']",aave/index.js,AaveAave,,['Chainlink'],,aave-v2,3824.32,"{'pool2': 106.66, 'Polygon-borrowed': 56.95, 'Ethereum-pool2': 106.66, 'Ethereum': 3612.43, 'Avalanche': 41.48, 'Ethereum-staking': 211.22, 'Polygon': 170.41, 'Ethereum-borrowed': 1728.22, 'borrowed': 1801.43, 'staking': 211.22, 'Avalanche-borrowed': 16.26}",-0.1223722148115911,-1.1900679137848158,1.448216706706205,{},,,['https://aave.com/security'],,,,211220833.33212224,parent#aave,106655974.50942525,
9,494,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,https://justlend.just.network,JustLend is a TRON-powered coin market protocol aimed at establishing fund pools whose interest rates are determined by an algorithm based on the supply and demand of TRON assets.,Tron,https://icons.llama.fi/justlend.png,2,,just,5488,Lending,['Tron'],justlend.js,DeFi_JUST,,['WINkLink'],,justlend,3676.95,"{'Tron-borrowed': 87.12, 'Tron': 3676.95, 'borrowed': 87.12}",-0.09042728417139756,-2.744371230271213,-0.7313307137272034,{},,,['https://www.justlend.link/docs/justlend_audit_en.pdf'],,,,,,,
