,id,name,symbol,chain,chains,slug,tvl,chainTvls
0,2269,Binance CEX,-,Multi-Chain,"['Bitcoin', 'Ethereum', 'Tron', 'Binance', 'Ripple', 'Solana', 'Arbitrum', 'Avalanche', 'Litecoin', 'Polkadot', 'Polygon', 'Optimism']",binance-cex,63883.06,"{'Optimism': 252.48, 'Litecoin': 534.06, 'Binance': 9826.23, 'Ethereum': 16086.74, 'Avalanche': 678.08, 'Polygon': 329.2, 'Solana': 1227.23, 'Tron': 16056.9, 'Arbitrum': 716.38, 'Ripple': 1336.81, 'Polkadot': 453.99, 'Bitcoin': 16384.97}"
1,182,Lido,LDO,Multi-Chain,"['Ethereum', 'Solana', 'Moonbeam', 'Moonriver', 'Terra']",lido,13100.48,"{'Ethereum': 13036.62, 'Moonriver': 0.99, 'Solana': 57.07, 'Terra': 0.07, 'Moonbeam': 5.73}"
2,2272,OKX,-,Multi-Chain,"['Ethereum', 'Bitcoin', 'Tron', 'Optimism', 'Arbitrum', 'Polygon', 'Avalanche']",okx,9891.52,"{'Optimism': 87.05, 'Ethereum': 6122.43, 'Avalanche': 32.47, 'Polygon': 56.51, 'Tron': 299.28, 'Arbitrum': 75.62, 'Bitcoin': 3218.16}"
3,2275,Bitfinex,-,Multi-Chain,"['Bitcoin', 'Ethereum', 'Tron', 'Avalanche', 'Polygon', 'Solana', 'Polkadot', 'Litecoin', 'EOS', 'Algorand', 'Zilliqa', 'Fantom', 'Cosmos', 'Cardano', 'Tezos', 'Near', 'Aptos', 'Elrond', 'EthereumClassic']",bitfinex,9010.67,"{'Cosmos': 3.5, 'Ethereum': 3451.02, 'Cardano': 2.34, 'Avalanche': 36.91, 'EthereumClassic': 0.0, 'Tron': 173.53, 'Fantom': 4.46, 'Litecoin': 8.45, 'Zilliqa': 5.53, 'Aptos': 1.67, 'Near': 1.75, 'EOS': 6.72, 'Tezos': 2.18, 'Algorand': 5.57, 'Polygon': 15.48, 'Solana': 15.36, 'Elrond': 0.54, 'Polkadot': 10.59, 'Bitcoin': 5265.07}"
4,118,MakerDAO,MKR,Ethereum,['Ethereum'],makerdao,6807.54,{'Ethereum': 6807.54}
5,240,Polygon Bridge & Staking,MATIC,Polygon,['Polygon'],polygon-bridge-&-staking,6711.58,{'Polygon': 6711.58}
6,2,WBTC,-,Ethereum,['Ethereum'],wbtc,4241.43,{'Ethereum': 4241.43}
7,3,Curve DEX,CRV,Multi-Chain,"['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'Fantom', 'Celo', 'xDai', 'Avalanche', 'Kava', 'Moonbeam', 'Aurora', 'Harmony']",curve-dex,4202.1,"{'Optimism': 43.82, 'Kava': 12.98, 'Harmony': 0.0, 'Moonbeam': 0.56, 'Ethereum': 3887.48, 'Aurora': 0.02, 'xDai': 16.69, 'Avalanche': 16.55, 'Ethereum-staking': 541.17, 'Polygon': 83.31, 'Celo': 22.8, 'Arbitrum': 94.42, 'Fantom': 23.45, 'staking': 541.17}"
8,111,AAVE V2,AAVE,Multi-Chain,"['Ethereum', 'Polygon', 'Avalanche']",aave-v2,3824.32,"{'pool2': 106.66, 'Polygon-borrowed': 56.95, 'Ethereum-pool2': 106.66, 'Ethereum': 3612.43, 'Avalanche': 41.48, 'Ethereum-staking': 211.22, 'Polygon': 170.41, 'Ethereum-borrowed': 1728.22, 'borrowed': 1801.43, 'staking': 211.22, 'Avalanche-borrowed': 16.26}"
9,494,JustLend,JST,Tron,['Tron'],justlend,3676.95,"{'Tron-borrowed': 87.12, 'Tron': 3676.95, 'borrowed': 87.12}"
10,2270,Crypto-com,-,Multi-Chain,"['Ethereum', 'Bitcoin', 'Polygon', 'Fantom', 'Binance', 'Optimism', 'Avalanche', 'Arbitrum']",crypto-com,3417.46,"{'Optimism': 0.7, 'Binance': 1.66, 'Ethereum': 2215.56, 'Avalanche': 0.0, 'Polygon': 34.23, 'Arbitrum': 0.0, 'Fantom': 10.66, 'Bitcoin': 1154.65}"
11,319,Convex Finance,CVX,Multi-Chain,"['Ethereum', 'Arbitrum', 'Polygon']",convex-finance,3272.94,"{'Ethereum': 3161.83, 'Polygon': 54.41, 'Ethereum-staking': 244.46, 'Arbitrum': 56.7, 'staking': 244.46}"
12,694,JustCryptos,JST,Tron,['Tron'],justcryptos,3217.32,{'Tron': 3217.32}
13,2276,Huobi,-,Multi-Chain,"['Tron', 'Ethereum', 'Bitcoin', 'Polygon', 'Avalanche', 'Solana', 'EOS', 'Algorand', 'Litecoin']",huobi,2995.9,"{'Litecoin': 0.0, 'EOS': 7.25, 'Ethereum': 997.04, 'Algorand': 1.87, 'Avalanche': 13.14, 'Polygon': 20.05, 'Solana': 10.15, 'Tron': 1102.33, 'Bitcoin': 844.07}"
14,2198,Uniswap V3,UNI,Multi-Chain,"['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'Binance', 'Celo']",uniswap-v3,2936.8,"{'Optimism': 79.79, 'Binance': 16.75, 'Ethereum': 2426.95, 'Polygon': 94.78, 'Celo': 9.08, 'Arbitrum': 309.45}"
15,2286,Bybit,-,Multi-Chain,"['Ethereum', 'Bitcoin', 'Tron', 'Arbitrum', 'Binance', 'Ripple', 'Optimism', 'Polygon', 'Avalanche']",bybit,2894.18,"{'Optimism': 27.56, 'Binance': 60.9, 'Ethereum': 1590.25, 'Avalanche': 14.6, 'Polygon': 17.9, 'Tron': 276.1, 'Arbitrum': 61.34, 'Ripple': 42.63, 'Bitcoin': 802.9}"
