,gecko_id,tvl,tokenSymbol,cmcId,name,chainId
0,ethereum,53388.16,ETH,1027,Ethereum,1
71,tron,5601.4,TRON,1958,Tron,
7,binancecoin,5003.47,BNB,1839,Binance,56
3,arbitrum,2597.62,ARB,11841,Arbitrum,42161
2,matic-network,1270.86,MATIC,3890,Polygon,137
4,optimism,1030.85,OP,11840,Optimism,10
1,avalanche-2,912.33,AVAX,5805,Avalanche,43114
14,solana,519.57,SOL,5426,Solana,
109,mixin,422.22,XIN,2349,Mixin,
16,kava,367.29,KAVA,4846,Kava,
9,crypto-com-chain,361.98,CRO,3635,Cronos,25
5,fantom,297.37,FTM,3513,Fantom,250
188,pulsechain,285.2,PLS,,Pulse,
121,defichain,226.55,DFI,5804,DefiChain,
49,klay-token,210.61,KLAY,4256,Klaytn,8217
123,,185.33,PARA,,Parallel,
31,bitcoin,178.26,BTC,1,Bitcoin,
146,acala,173.76,ACA,6756,Acala,
94,cardano,173.4,ADA,2010,Cardano,
90,fsn,171.42,FSN,2530,Fusion,32659
70,osmosis,146.93,OSMO,12220,Osmosis,
62,algorand,145.95,ALGO,4030,Algorand,
39,,143.31,,,zkSync Era,324
19,oec-token,127.55,OKT,8267,OKExChain,66
21,celo,95.84,CELO,5567,Celo,42220
76,eos,94.65,EOS,1765,EOS,
58,rootstock,91.31,RBTC,3626,RSK,30
33,,88.19,RON,,Ronin,2020
36,canto,85.85,CANTO,21516,Canto,
8,gnosis,75.71,GNO,1659,xDai,100
78,near,71.95,NEAR,6535,Near,
55,neo,62.23,NEO,1376,NEO,
27,huobi-token,60.58,HT,2502,Heco,128
75,tezos,58.74,XTZ,2011,Tezos,
103,elrond-erd-2,54.99,EGLD,6892,Elrond,
32,aptos,54.89,APT,21794,Aptos,
20,moonbeam,54.6,GLMR,6836,Moonbeam,1284
83,waves,53.87,WAVES,1274,Waves,
67,thorchain,53.61,RUNE,4157,Thorchain,
30,kucoin-shares,48.84,KCS,2087,Kucoin,321
48,hedera-hashgraph,48.29,HBAR,4642,Hedera,
40,telos,46.95,TLOS,4660,Telos,40
35,astar,41.45,ASTR,12885,Astar,592
15,metis-token,40.31,METIS,9640,Metis,1088
85,conflux-token,38.97,CFX,7334,Conflux,
164,stride,35.64,STRD,21781,Stride,
140,bifrost-native-coin,30.81,BNC,8705,Bifrost,
72,icon,28.68,ICX,2099,Icon,
116,blockstack,26.89,STX,4847,Stacks,
118,injective-protocol,24.67,INJ,,Injective,
12,aurora-near,23.14,AURORA,14803,Aurora,1313161554
143,sui,19.38,SUI,20947,Sui,
65,,19.38,,,Polygon zkEVM,1101
26,iotex,18.65,IOTX,2777,IoTeX,4689
104,stellar,17.64,XLM,512,Stellar,
17,moonriver,14.81,MOVR,9285,Moonriver,1285
25,ontology,14.43,ONT,2566,Ontology,
182,wemix-token,14.4,WEMIX,7548,WEMIX,
46,songbird,13.8,SGB,12186,Songbird,19
11,bittorrent,13.74,BTT,16086,Bittorrent,199
131,kujira,13.57,KUJI,15185,Kujira,
167,the-open-network,11.75,TON,11419,TON,
56,secret,11.73,SCRT,5604,Secret,
166,starknet,11.7,STRK,,Starknet,
68,terra-luna-2,11.67,LUNA,20314,Terra2,
73,karura,11.61,KAR,10042,Karura,
159,vision-metaverse,10.06,VS,19083,Vision,
139,filecoin,10.03,FIL,2280,Filecoin,
175,umee,9.19,UMEE,16389,Umee,
153,coredaoorg,8.1,CORE,23254,CORE,
22,wanchain,7.41,WAN,2606,Wanchain,888
92,kardiachain,7.04,KAI,5453,Kardia,0
129,proton,7.0,XPR,5350,Proton,
96,persistence,6.97,XPRT,7281,Persistence,
98,sora,6.84,XOR,5802,Sora,
79,ultra,6.7,UOS,4189,Ultra,
177,,6.18,,,Orai,
134,defi-kingdoms,5.76,JEWEL,12319,DFK,53935
158,crescent-network,5.56,CRE,,Crescent,
151,flow,5.43,FLOW,4558,Flow,
160,ultron,5.27,ULX,21524,Ultron,1231
133,vite,5.06,VITE,2937,Vite,
41,,4.96,,,Arbitrum Nova,42170
106,everscale,4.85,EVER,7505,Everscale,
54,zilliqa,4.63,ZIL,2469,Zilliqa,
13,oasis-network,4.47,ROSE,7653,Oasis,42262
122,,4.47,HKO,,Heiko,
111,,4.43,,,GodwokenV1,71402
18,harmony,4.12,ONE,3945,Harmony,1666600000
95,bitcoin-cash,3.97,BCH,1831,smartBCH,10000
