date,totalLiquidityUSD
2018-08-16,0.01
2018-08-17,0.01
2018-08-18,0.01
2018-08-19,0.01
2018-08-20,0.01
2018-08-21,0.01
2018-08-22,0.01
2018-08-23,0.01
2018-08-24,0.01
2018-08-25,0.01
2018-08-26,0.01
2018-08-27,0.01
2018-08-28,0.01
2018-08-29,0.01
2018-08-30,0.01
2018-08-31,0.01
2018-09-01,0.01
2018-09-02,0.01
2018-09-03,0.01
2018-09-04,0.01
2018-09-05,0.01
2018-09-06,0.01
2018-09-07,0.01
2018-09-08,0.0
2018-09-09,0.0
2018-09-10,0.0
2018-09-11,0.0
2018-09-12,0.0
2018-09-13,0.0
2018-09-14,0.0
2018-09-15,0.0
2018-09-16,0.01
2018-09-17,0.01
2018-09-18,0.01
2018-09-19,0.01
2018-09-20,0.01
2018-09-21,0.01
2018-09-22,0.01
2018-09-23,0.01
2018-09-24,0.01
2018-09-25,0.01
2018-09-26,0.01
2018-09-27,0.01
2018-09-28,0.01
2018-09-29,0.01
2018-09-30,0.01
2018-10-01,0.01
2018-10-02,0.01
2018-10-03,0.01
2018-10-04,0.01
2018-10-05,0.23
2018-10-06,0.23
2018-10-07,0.23
2018-10-08,0.23
2018-10-09,0.23
2018-10-10,0.23
2018-10-11,0.23
2018-10-12,0.23
2018-10-13,0.23
2018-10-14,0.22
2018-10-15,0.23
2018-10-16,0.24
2018-10-17,0.24
2018-10-18,0.24
2018-10-19,0.23
2018-10-20,0.23
2018-10-21,0.24
2018-10-22,0.23
2018-10-23,0.23
2018-10-24,0.23
2018-10-25,0.22
2018-10-26,0.23
2018-10-27,0.23
2018-10-28,0.23
2018-10-29,0.23
2018-10-30,0.23
2018-10-31,0.23
2018-11-01,0.23
2018-11-02,0.23
2018-11-03,0.27
2018-11-04,0.27
2018-11-05,0.27
2018-11-06,0.28
2018-11-07,0.39
2018-11-08,0.42
2018-11-09,0.41
2018-11-10,0.41
2018-11-11,0.42
2018-11-12,0.44
2018-11-13,0.44
2018-11-14,0.43
2018-11-15,0.44
2018-11-16,0.44
2018-11-17,0.44
2018-11-18,0.43
2018-11-19,0.43
2018-11-20,0.44
2018-11-21,0.41
2018-11-22,0.42
2018-11-23,0.42
2018-11-24,0.41
2018-11-25,0.39
2018-11-26,0.39
2018-11-27,0.4
2018-11-28,0.4
2018-11-29,0.43
2018-11-30,0.43
2018-12-01,0.42
2018-12-02,0.44
2018-12-03,0.44
2018-12-04,0.44
2018-12-05,0.45
2018-12-06,0.43
2018-12-07,0.42
2018-12-08,0.43
2018-12-09,0.49
2018-12-10,0.52
2018-12-11,0.52
2018-12-12,0.52
2018-12-13,0.53
2018-12-14,0.53
2018-12-15,0.51
2018-12-16,0.5
2018-12-17,0.53
2018-12-18,0.58
2018-12-19,0.61
2018-12-20,0.6
2018-12-21,0.65
2018-12-22,0.63
2018-12-23,0.66
2018-12-24,0.7
2018-12-25,0.73
2018-12-26,0.7
2018-12-27,0.7
2018-12-28,0.65
2018-12-29,0.68
2018-12-30,0.72
2018-12-31,0.72
2019-01-01,0.7
2019-01-02,0.71
2019-01-03,0.76
2019-01-04,274.6
2019-01-05,289.45
2019-01-06,298.14
2019-01-07,287.0
2019-01-08,285.9
2019-01-09,279.06
2019-01-10,106.76
2019-01-11,245.18
2019-01-12,279.59
2019-01-13,246.17
2019-01-14,179.21
2019-01-15,250.09
2019-01-16,252.14
2019-01-17,255.36
2019-01-18,266.57
2019-01-19,233.51
2019-01-20,240.51
2019-01-21,237.27
2019-01-22,230.05
2019-01-23,224.35
2019-01-24,232.04
2019-01-25,229.99
2019-01-26,230.3
2019-01-27,233.74
2019-01-28,228.51
2019-01-29,100.09
2019-01-30,207.37
2019-01-31,211.07
2019-02-01,217.13
2019-02-02,215.64
2019-02-03,218.41
2019-02-04,218.45
2019-02-05,217.79
2019-02-06,219.54
2019-02-07,212.07
2019-02-08,217.35
2019-02-09,222.33
2019-02-10,248.04
2019-02-11,244.77
2019-02-12,251.17
2019-02-13,249.08
2019-02-14,254.81
2019-02-15,251.55
2019-02-16,255.51
2019-02-17,255.48
2019-02-18,267.67
2019-02-19,290.89
2019-02-20,310.42
2019-02-21,307.7
2019-02-22,307.59
2019-02-23,315.79
2019-02-24,316.42
2019-02-25,350.5
2019-02-26,296.36
2019-02-27,295.72
2019-02-28,299.0
2019-03-01,296.73
2019-03-02,301.32
2019-03-03,290.65
2019-03-04,292.58
2019-03-05,276.33
2019-03-06,282.96
2019-03-07,306.66
2019-03-08,309.6
2019-03-09,301.35
2019-03-10,311.67
2019-03-11,300.78
2019-03-12,298.11
2019-03-13,299.97
2019-03-14,294.6
2019-03-15,297.58
2019-03-16,303.43
2019-03-17,322.08
2019-03-18,322.0
2019-03-19,317.93
2019-03-20,315.11
2019-03-21,315.58
2019-03-22,312.9
2019-03-23,305.57
2019-03-24,307.32
2019-03-25,308.47
2019-03-26,302.47
2019-03-27,298.69
2019-03-28,313.75
2019-03-29,306.91
2019-03-30,315.64
2019-03-31,321.23
2019-04-01,318.46
2019-04-02,316.04
2019-04-03,345.25
2019-04-04,376.56
2019-04-05,361.84
2019-04-06,370.6
2019-04-07,369.82
2019-04-08,380.32
2019-04-09,399.88
2019-04-10,399.79
2019-04-11,407.72
2019-04-12,373.0
2019-04-13,373.55
2019-04-14,365.74
2019-04-15,366.53
2019-04-16,369.84
2019-04-17,359.54
2019-04-18,372.14
2019-04-19,378.07
2019-04-20,380.71
2019-04-21,373.97
2019-04-22,363.68
2019-04-23,371.39
2019-04-24,378.83
2019-04-25,355.14
2019-04-26,351.22
2019-04-27,334.03
2019-04-28,332.1
2019-04-29,336.89
2019-04-30,326.32
2019-05-01,340.79
2019-05-02,348.26
2019-05-03,341.3
2019-05-04,349.14
2019-05-05,344.73
2019-05-06,345.59
2019-05-07,345.58
2019-05-08,376.3
2019-05-09,356.03
2019-05-10,357.61
2019-05-11,353.89
2019-05-12,380.8
2019-05-13,386.15
2019-05-14,392.2
2019-05-15,418.49
2019-05-16,459.89
2019-05-17,464.43
2019-05-18,430.28
2019-05-19,440.81
2019-05-20,470.71
2019-05-21,460.93
