,tvl,protocols,avg_tvl,median_tvl,name,symbol,gecko_id,tvl_protocol,chain,change_1d,change_7d,dominance,category
0,102938.09999999999,26,3959.16,365.56,Binance CEX,-,,63883.06,Multi-Chain,-1.9851454047007024,0.35642772106530174,0.62,CEX
1,19410.17,91,213.3,4.27,Lido,LDO,lido-dao,13100.48,Multi-Chain,-1.7360223595637763,6.757628591136381,0.67,Liquid Staking
2,17008.43,860,19.78,0.22,Curve DEX,CRV,,4202.1,Multi-Chain,-1.2530389153385215,0.03848395643237268,0.25,Dexes
3,14274.46,245,58.26,0.74,AAVE V2,AAVE,aave,3824.32,Multi-Chain,-1.1900679137848158,1.448216706706205,0.27,Lending
4,10818.93,43,251.6,6.48,WBTC,-,,4241.43,Ethereum,-3.117745794793052,1.5394103916384125,0.39,Bridge
5,9945.85,90,110.51,1.4,MakerDAO,MKR,maker,6807.54,Ethereum,-2.3593855306515934,0.7765659313281077,0.68,CDP
6,7090.4,13,545.42,0.0,Polygon Bridge & Staking,MATIC,matic-network,6711.58,Polygon,-2.713694335293795,0.3986846162791693,0.95,Chain
7,5132.17,428,11.99,0.02,Convex Finance,CVX,convex-finance,3272.94,Multi-Chain,-1.9972480277810831,0.06733091731949514,0.64,Yield
8,2418.8,116,20.85,0.0,Instadapp,INST,instadapp,2165.54,Ethereum,-2.2427817761254403,2.8044947969430467,0.9,Services
9,1400.96,110,12.74,0.47,GMX,GMX,gmx,615.48,Multi-Chain,-2.381898401193965,-6.2827198876045,0.44,Derivatives
10,1232.45,99,12.45,0.1,Yearn Finance,YFI,yearn-finance,449.92,Multi-Chain,-1.614364022375014,1.776642435288096,0.37,Yield Aggregator
11,669.02,24,27.88,1.92,Stargate,STG,stargate-finance,421.92,Multi-Chain,-0.3386653121715426,-2.3937231366640788,0.63,Cross Chain
12,652.25,35,18.64,0.0,UniCrypt,UNCX,unicrypt-2,239.99,Multi-Chain,-2.1746927098039635,,0.37,Launchpad
13,637.43,33,19.32,0.24,Synthetix,SNX,havven,411.69,Multi-Chain,-4.4795553160211625,,0.65,Synthetics
14,595.78,46,12.95,0.22,Bwatch,BOX,b-watch-box,270.73,Mixin,-3.138291649040795,1.6373772121231838,0.45,Indexes
15,382.98,22,17.41,1.25,Arrakis V1,-,,210.28,Multi-Chain,-1.480306441443517,-0.38393171885905986,0.55,Liquidity manager
16,355.63,16,22.23,1.7,Ondo Finance,-,,103.5,Ethereum,-0.5545773311472004,-0.07586525564482827,0.29,RWA
17,340.41999999999996,24,14.18,0.56,Nexus Mutual,NXM,nxm,271.71,Ethereum,-1.9427453335286344,2.7856427847051606,0.8,Insurance
18,336.25,22,15.28,0.76,BendDAO Lending,BEND,,135.02,Ethereum,-2.0431152941191044,0.3217688025728904,0.4,NFT Lending
19,315.05,12,26.25,0.04,Tornado Cash,TORN,tornado-cash,290.08,Multi-Chain,-2.7188881451445894,3.2480724043158347,0.92,Privacy
20,266.03000000000003,106,2.51,0.0,Frax,FXS,,127.23,Ethereum,-0.7370806220801143,-0.09470858814917449,0.48,Algo-Stables
21,227.61,13,17.51,2.67,Alpaca Leveraged Yield Farming,ALPACA,alpaca-finance,125.3,Multi-Chain,-7.814173921631507,-30.39819178460384,0.55,Leveraged Farming
22,218.36,13,16.8,0.1,Lightning Network,-,,145.05,Bitcoin,-3.1382426062476867,1.6966518494858036,0.66,Payments
23,175.8,25,7.03,0.0,Blur Bids,BLUR,blur,115.64,Ethereum,-6.6832949596036855,-2.303002394089532,0.66,NFT Marketplace
24,128.37,39,3.29,0.39,Lyra,LYRA,lyra-finance,31.49,Multi-Chain,1.682658843817535,19.162532068712082,0.25,Options
25,82.57,15,5.5,0.76,Jones DAO,JONES,jones-dao,31.39,Multi-Chain,1.2347400391401493,-3.982240040721635,0.38,Options Vault
26,66.5,10,6.65,3.39,WEMIX.FI Staking,-,,36.17,WEMIX,-3.1439351782931055,4.22663380190636,0.54,Staking Pool
27,20.44,28,0.73,0.01,Polymarket,-,,5.53,Polygon,-0.49946961708991466,-13.320287177228835,0.27,Prediction Market
28,20.41,69,0.3,0.0,VyFinance Vaults,VYFI,,4.28,Cardano,-5.6414693134858425,-7.704255136501885,0.21,Farm
29,11.75,7,1.68,0.47,Maple,MPL,maple,4.97,Multi-Chain,-0.11617754385360968,34.33519955660998,0.42,Uncollateralized Lending
30,6.8100000000000005,120,0.06,0.0,The Idols,VIRTUE,virtue,5.2,Ethereum,-2.4739810501753823,2.7961653736164465,0.76,Reserve Currency
31,2.6,3,0.87,1.05,Goldfinch,GFI,goldfinch,1.44,Ethereum,-0.7129599826330946,1.6203915932394324,0.55,RWA Lending
32,2.36,34,0.07,0.0,AstarFarm,-,,1.45,Astar,-3.856226117646628,-6.978855084436603,0.61,Gaming
33,0.0,5,0.0,0.0,Nest Protocol Staking,NEST,,0.0,Multi-Chain,-2.5564742103988607,0.12796815014930019,,Oracle
