,id,name,symbol,gecko_id,chain,category,slug,tvl,change_1h,change_1d,change_7d
0,2269,Binance CEX,-,,Multi-Chain,CEX,binance-cex,63883.06,-0.02168695502035689,-1.9851454047007024,0.35642772106530174
1,182,Lido,LDO,lido-dao,Multi-Chain,Liquid Staking,lido,13100.48,-0.08484029189096987,-1.7360223595637763,6.757628591136381
2,2272,OKX,-,,Multi-Chain,CEX,okx,9891.52,-0.03783741412733832,0.3351542472123299,2.2145867238043735
3,2275,Bitfinex,-,,Multi-Chain,CEX,bitfinex,9010.67,-0.08370929192827248,-2.3176639962162398,0.6942775251263811
4,118,MakerDAO,MKR,maker,Ethereum,CDP,makerdao,6807.54,-0.10070799547212061,-2.3593855306515934,0.7765659313281077
5,240,Polygon Bridge & Staking,MATIC,matic-network,Polygon,Chain,polygon-bridge-&-staking,6711.58,-0.24181797133363148,-2.713694335293795,0.3986846162791693
6,2,WBTC,-,,Ethereum,Bridge,wbtc,4241.43,-0.06998931741998149,-3.117745794793052,1.5394103916384125
7,3,Curve DEX,CRV,,Multi-Chain,Dexes,curve-dex,4202.1,-0.03840126835014246,-1.2530389153385215,0.03848395643237268
8,111,AAVE V2,AAVE,aave,Multi-Chain,Lending,aave-v2,3824.32,-0.1223722148115911,-1.1900679137848158,1.448216706706205
9,494,JustLend,JST,just,Tron,Lending,justlend,3676.95,-0.09042728417139756,-2.744371230271213,-0.7313307137272034
10,2270,Crypto-com,-,,Multi-Chain,CEX,crypto-com,3417.46,-0.1677592343890808,-3.282826524474544,3.2244700384923135
11,319,Convex Finance,CVX,convex-finance,Multi-Chain,Yield,convex-finance,3272.94,0.005832156864556737,-1.9972480277810831,0.06733091731949514
12,694,JustCryptos,JST,,Tron,Bridge,justcryptos,3217.32,-0.07677609405651253,-3.167543986890678,1.4455829481091484
13,2276,Huobi,-,,Multi-Chain,CEX,huobi,2995.9,-0.15732412282658004,-2.806137317368865,1.7093046375988195
14,2198,Uniswap V3,UNI,,Multi-Chain,Dexes,uniswap-v3,2936.8,-0.1921067273198389,-2.339205060597891,-0.5805176665142255
